name,set_name,border_color,mana_cost,type_line,oracle_text,power,toughness,loyalty,collector_number,watermark,usd,eur
Steam-Powered,Unstable,silver,"",Artifact Creature — Construct,"{5}:\nAugment {4} ({4}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.",+0,+4,,161,,0.13,0.04
Ineffable Blessing,Unstable,silver,{1}{G},Enchantment,"As Ineffable Blessing enters the battlefield, choose Flavorful or Bland.\n• Flavorful — Whenever a creature with flavor text enters the battlefield under your control, draw a card.\n• Bland — Whenever a creature without flavor text enters the battlefield under your control, draw a car",,,,113a,,1.01,1.88
Turbo-Thwacking Auto-Hammer,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Turbo-Thwacking Auto-Hammer, target creature gains double strike until end of turn.",,,,209,goblinexplosioneers,0.23,0.15
"Half-Kitten, Half-",Unstable,silver,"",Creature — Cat,"Whenever you're dealt damage,\nAugment {2}{W} ({2}{W}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.",+1,+2,,9,,0.18,0.09
Frankie Peanuts,The List (Unfinity Foil Edition),silver,{2}{W}{W},Legendary Creature — Elephant Rogue,"At the beginning of your upkeep, you may ask target player a yes-or-no question. If you do, that player answers the question truthfully and abides by that answer if able until end of turn.",2,3,,4,,,
Sword of Dungeons \u0026 Dr,Unsanctioned,silver,{3},Artifact — Equipment,"Equipped creature gets +2/+2 and has protection from Rogues and from Clerics.\nWhenever equipped creature deals combat damage to a player, create a 4/4 gold Dragon creature token with flying and roll a d20 (a twenty-sided die). If you roll a 20, repeat this process.\nEquip {",,,,84,,1.65,3.09
Ol' Buzzbark,The List (Unfinity Foil Edition),silver,{X}{R}{G},Legendary Creature — Goblin Warrior,"When Ol' Buzzbark enters the battlefield, roll X six-sided dice onto the battlefield from a height of at least X inches. For each die, put a number of +1/+1 counters equal to the result on each creature you control that die is touching. For each die, Ol' Buzzbark deals damage equal to the result to each creature an opponent controls that die is touching.",3,3,,51,goblinexplosioneers,,
Slaying Mantis,Unstable,silver,{5}{G}{G},Creature — Insect Wrestler,"Just a second (As long as this spell is on the stack, players can't move cards on the battlefield.)\nSlaying Mantis enters the battlefield by being thrown from a distance of at least three feet.\nWhen Slaying Mantis enters the battlefield, it fights each creature an opponent controls that it touched as it entere",6,6,,122,crossbreedlabs,0.11,0.17
Watermarket,Unstable,silver,"",Land,{T}: Add {C}{C}. Spend this mana only to cast spells with watermarks.,,,,166,,0.19,0.25
Curse of the Fire Penguin // Curse of the Fire Penguin Creature,Unhinged,silver,{4}{R}{R},Enchantment — Aura // Creature — Penguin,,,,,73,,0.86,0.46
Deadly Poison Sampler,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Deadly Poison Sampler, until end of turn, target creature gains \""Whenever this creature deals combat damage to a player, destroy target creature that player controls.",,,,174,agentsofsneak,0.18,0.15
Hot Fix,The List (Unfinity Foil Edition),silver,{4}{W}{U},Sorcery,"You have ten seconds to look at and rearrange the cards in your library. At the end of those ten seconds, if you're touching one or more of those cards, shuffle.",,,,49,orderofthewidget,,
Work a Double,Unstable,silver,{2}{R}{R},Sorcery,Assemble two Contraptions. (Put the top card of your Contraption deck face up onto one of your sprockets. Then repeat this process.),,,,100,goblinexplosioneers,0.06,0.03
It That Gets Left Hanging,Unstable,silver,{5}{R},Creature — Elemental Horror,"When It That Gets Left Hanging enters the battlefield, ask a person outside the game to high-five you. If they won't, It That Gets Left Hanging gains haste until end of turn.",5,4,,89,leagueofdastardlydoom,0.07,0.1
Infinity Elemental,Unstable,silver,{4}{R}{R}{R},Creature — Elemental,(This creature has INFINITE POWER.),∞,5,,88,,0.26,0.5
"Look at Me, I'm R\u",Unhinged,silver,{2}{W},Enchantment,"As Look at Me, I'm R\u0026D comes into play, choose a number and a second number one higher or one lower than that number.\nAll instances of the first chosen number on permanents, spells, and cards in any zone are the second chosen n",,,,17,,0.77,0.2
Abstract Iguanart,Unsanctioned,silver,{1}{R},Creature — Art Lizard,"Whenever you cast a spell, note the first letter of its artist's name. If that letter wasn't already noted, put a +1/+1 counter on Abstract Iguanart.",1,1,,47,,0.14,0.02
Subcontract,Unstable,silver,{B},Sorcery,A person outside the game looks at target opponent's hand and chooses a nonland card from it. That player discards that card.,,,,73,agentsofsneak,0.06,0.02
Ground Pounder,Unstable,silver,{1}{G},Creature — Goblin Warrior,"{3}{G}: Roll a six-sided die. Ground Pounder gets +X/+X until end of turn, where X is the result.\nWhenever you roll a 5 or higher on a die, Ground Pounder gains trample until end of turn",2,2,,110,goblinexplosioneers,0.07,0.04
Booster Tutor,Unhinged,silver,{B},Instant,"Open a sealed Magic booster pack, reveal the cards, and put one of them into your hand. (Remove that card from your deck before beginning a new game.)",,,,51,,0.58,0.49
Earl of Squirrel,Unstable,silver,{4}{G}{G},Creature — Squirrel Noble Advisor,Squirrellink (Damage dealt by this creature also causes you to create that many 1/1 green Squirrel creature tokens.)\nCreature tokens you control are Squirrels in addition to their other creature types.\nOther Squirrels you control get +1/+,4,4,,108,,1.55,0.37
Thud-for-Duds,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Thud-for-Duds, roll two six-sided dice. Thud-for-Duds deals damage to target creature equal to the difference between those results.",,,,206,goblinexplosioneers,0.22,0.12
Bee-Bee Gun,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Bee-Bee Gun, until end of turn, target creature gains \""{2}: This creature fights another target creature.",,,,171,crossbreedlabs,0.29,0.48
Goat,Unstable Tokens,silver,"",Token Creature — Goat,"",0,1,,2,,,
Jack-in-the-Mox,Unsanctioned,silver,{0},Artifact,{T}: Roll a six-sided die. This ability has the indicated effect.\n1 — Sacrifice Jack-in-the-Mox and you lose 5 life.\n2 — Add {W}.\n3 — Add {U}.\n4 — Add {B}.\n5 — Add {R}.\n6 — Ad,,,,78,,1.45,0.75
Optical Optimizer,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Optical Optimizer, until end of turn, target creature becomes an artifact in addition to its other types and gains \""{T}: Draw a card.",,,,197,orderofthewidget,0.15,0.39
Island,Unsanctioned,black,"",Basic Land — Island,({T}: Add {U}.),,,,89,,0.45,0.13
Over My Dead Bodies,Unstable,silver,{4}{B}{B},Enchantment,"Creature cards in graveyards can attack and block as though they were on the battlefield, can block or be blocked only by creature cards in graveyards, are Zombies in addition to their other types, and have undeathtouch. (If they would deal damage to a creature card, exile that creature card instead.)\nCreature cards in your graveyard have haste",,,,63,leagueofdastardlydoom,0.22,0.2
Super-Duper Death Ray,Unsanctioned,silver,{2}{R},Instant,Trample (This spell can deal excess damage to its target's controller.)\nSuper-Duper Death Ray deals 4 damage to target creature,,,,59,leagueofdastardlydoom,0.1,0.19
Inflation Station,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Inflation Station, target creature gets +3/+3 until end of turn.",,,,190,crossbreedlabs,0.1,0.17
Everythingamajig,Unstable,silver,{6},Artifact,"{T}: Add one mana of any color.\n{1}, {T}: Say the flavor text on a card in your hand. Target opponent guesses that card's name. You may reveal that card. If you do and your opponent guessed wrong, draw a card.\n{8}, {T}: Everythingamajig deals 12 damage to target creatur",,,,147d,,1.86,2.04
Steamfloggery,Unstable,silver,{4}{R}{R},Instant,"Roll a six-sided die. Assemble a number of Contraptions equal to the result. (To assemble a Contraption, put the top card of your Contraption deck face up onto one of your sprockets.)",,,,96,goblinexplosioneers,0.11,0.09
Poultrygeist,Unglued,silver,{2}{B},Creature — Bird Spirit,"Flying\nWhenever a creature dies, you may roll a six-sided die. If you roll a 1, sacrifice Poultrygeist. Otherwise, put a +1/+1 counter on Poultrygeist",1,1,,37,,0.15,0.05
Free-Range Chicken,Unsanctioned,silver,{3}{G},Creature — Bird,"{1}{G}: Roll two six-sided dice. If both results are the same, Free-Range Chicken gets +X/+X until end of turn, where X is that result. If the total of those results is equal to any other total you have rolled this turn for this ability, sacrifice it. (For example, if you roll two 3s, it gets +3/+3. If you roll a 4 and a 2 for this ability later that turn, sacrifice it.)",3,3,,63,,0.11,0.45
Earl of Squirrel,Unstable Promos,silver,{4}{G}{G},Creature — Squirrel Noble Advisor,Squirrellink (Damage dealt by this creature also causes you to create that many 1/1 green Squirrel creature tokens.)\nCreature tokens you control are Squirrels in addition to their other creature types.\nOther Squirrels you control get +1/+,4,4,,108,,,
Scissors Lizard,Unglued,silver,{4},Artifact Creature — Lizard,Creatures named Paper Tiger can't attack or block.,4,3,,80,,0.56,0.75
"Half-Orc, Half-",Unstable,silver,"",Creature — Orc Warrior,"Trample\nAt the beginning of each end step, if an opponent was dealt damage this turn,\nAugment {1}{R}{R} ({1}{R}{R}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery",+3,+1,,84,,0.14,0.08
Beast in Show,Unstable,silver,{4}{G}{G},Creature — Beast,Trample,6,4,,103c,,0.21,0.06
Guest List,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Guest List, target creature gets -X/-X until end of turn, where X is the number of creature cards in its controller's graveyard.",,,,186,leagueofdastardlydoom,0.15,0.24
Twiddlestick Charger,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Twiddlestick Charger, tap or untap target creature.",,,,210,agentsofsneak,0.09,0.12
Everythingamajig,Unstable,silver,{5},Artifact,"Sacrifice a land: You gain 2 life.\nSacrifice a creature: Add {C}{C}.\n{2}, Discard a card: Search your library for a card that shares a complete word in its name with the name of the discarded card, reveal it, put it into your hand, then shuffl",,,,147e,,2.23,1.5
Emcee,Unsanctioned,silver,{2}{W},Creature — Human Rogue,"Whenever another creature enters the battlefield, you may stand up and say in a deep, booming voice, \""Presenting . . . \"" and that creature's name. If you do, put a +1/+1 counter on that creatur",0,1,,3,,0.07,0.14
Druid of the Sacred Beaker,Unstable,silver,{2}{G},Creature — Deer Bird Ape Druid,{T}: Add {G} for each Crossbreed Labs watermark among permanents you control.,2,2,,106,crossbreedlabs,0.11,0.12
"\""Rumors of My Death . . .",Unstable,silver,{2}{B},Enchantment,"{3}{B}, Exile a permanent you control with a League of Dastardly Doom watermark: Return a permanent card with a League of Dastardly Doom watermark from your graveyard to the battlefield.",,,,65,leagueofdastardlydoom,0.1,0.19
Plains,Unglued,black,"",Basic Land — Plains,({T}: Add {W}.),,,,84,,4.54,4.5
Squirrel Farm,Unsanctioned,silver,{2}{G},Enchantment,"{1}{G}: Reveal a card in your hand, covering the artist credit. Target opponent guesses the artist. If they guess wrong, create a 1/1 green Squirrel creature token.",,,,71,,0.29,0.16
Checks and Balances,Unglued,silver,{2}{U},Enchantment,"Cast this spell only if there are three or more players in the game.\nWhenever a player casts a spell, each of that player's opponents may discard a card. If they do, counter that spell",,,,16,,0.24,0.62
Old Fogey,Unsanctioned,silver,{G}{G},Summon — Dinosaur,"Phasing, cumulative upkeep {1}, echo {G}{G}, fading 3, bands with other Dinosaurs, protection from Homarids, snow-covered plainswalk, flanking, rampage 2",7,7,,67,,0.25,0.15
Framed!,Unhinged,silver,{1}{U},Instant,Choose an artist. Tap all untapped permanents with art by that artist or untap all tapped permanents with art by that artist.,,,,33,,0.1,0.29
Summon the Pack,Unstable,silver,{7}{B},Sorcery,"Open a sealed Magic booster pack, reveal the cards, and put all creature cards revealed this way onto the battlefield under your control. They're Zombies in addition to their other types. (Remove those cards from your deck before beginning a new game.)",,,,74,leagueofdastardlydoom,0.31,0.5
Deadhead,Unglued,silver,{3}{B},Creature — Zombie,{0}: Return Deadhead from your graveyard to the battlefield. Activate only if an opponent isn't touching their hand (of cards).,3,3,,30,,0.18,0.29
Topsy Turvy,Unhinged,silver,{2}{U},Enchantment,"The phases of each player's turn are reversed. (The phases are, in reverse order, ending, postcombat main, combat, precombat main, and beginning.)\nAs long as there are more than two players in the game, the turn order is reversed",,,,47,,0.4,0.5
Success!,Unstable,silver,{W},Instant,"Target creature gets +2/+2 until end of turn. If it's a host or has augment, it gains lifelink until end of turn.",,,,24,crossbreedlabs,0.05,0.02
Supersize,Unhinged,silver,{1}{G},Instant,Target creature gets +3½/+3½ until end of turn.,,,,113,,0.14,0.1
Mesa Chicken,Unglued,silver,{W}{W},Creature — Bird,"Stand up, Flap your arms, Cluck like a chicken: Mesa Chicken gains flying until end of turn.",2,2,,9,,0.19,0.25
Rod of Spanking,Unhinged,silver,{1},Artifact,"{2}, {T}: Rod of Spanking deals 1 damage to target player. Then untap Rod of Spanking unless that player says \""Thank you, sir. May I have another?",,,,127,,0.7,0.74
The Cheese Stands Alone,Unglued,silver,{4}{W}{W},Enchantment,"When you control no permanents other than The Cheese Stands Alone and have no cards in hand, you win the game.",,,,2,,4.32,1.58
Painiac,Unstable,silver,{2}{R},Creature — Brainiac,"At the beginning of your upkeep, roll a six-sided die. Painiac gets +X/+0 until end of turn, where X is the result.",0,3,,91,leagueofdastardlydoom,0.07,0.03
Sacrifice Play,Unstable,silver,{2}{W},Instant,A person outside the game chooses an attacking or blocking creature target opponent controls. That player sacrifices that creature.,,,,21,orderofthewidget,0.07,0.06
Pet Project,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Pet Project, put target creature card from an opponent's graveyard onto the battlefield under your control.",,,,198,leagueofdastardlydoom,0.31,0.59
B.F.M. (Big Furry Monster),Unglued,silver,{B}{B}{B}{B}{B}{B}{B}{B}{B}{B}{B}{B}{B}{B}{B},Scariest Creature You'll Ever See,B.F.M. onto the battlefield. If one B.F.M. card\nmore creatures,99,99,,29,,7.58,8.89
Stone-Cold Basilisk,Unhinged,silver,{4}{G},Creature — Basilisk,"Whenever Stone-Cold Basilisk blocks or becomes blocked by a creature with fewer letters in its name, destroy that creature at end of combat. (Punctuation and spaces aren't letters.)\nWhenever an opponent reads Stone-Cold Basilisk, that player is turned to stone until end of turn. Stoned players can't attack, block, cast spells, or activate abilities",2.5,5,,112,,0.32,0.25
As Luck Would Have It,Unstable,silver,{G},Enchantment,"Hexproof\nWhenever you roll a die, put a number of luck counters on As Luck Would Have It equal to the result. Then if there are 100 or more luck counters on As Luck Would Have It, you win the game. (Count both rolls if you reroll a die.",,,,102,,0.24,0.18
Zzzyxas's Abyss,Unhinged,silver,{1}{B}{B},Enchantment,"At the beginning of your upkeep, destroy all nonland permanents with the first name alphabetically among nonland permanents.",,,,70,,0.92,0.4
Adorable Kitten,Unsanctioned,silver,{W},Host Creature — Cat,"When this creature enters the battlefield, roll a six-sided die. You gain life equal to the result.",1,1,,1,,0.1,0.1
Neural Network,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Neural Network, gain control of target creature an opponent controls with power less than or equal to the number of creature cards in its controller's graveyard until end of turn. Untap that creature. It gains haste until end of turn.",,,,195,leagueofdastardlydoom,0.2,0.19
Letter Bomb,Unhinged,silver,{6},Artifact,"When Letter Bomb enters the battlefield, sign it and shuffle it into target player's library. That player reveals each card they draw until they draw Letter Bomb. When that player draws Letter Bomb, it deals 19½ damage to them.",,,,122★,,,
Top-Secret Tunnel,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Top-Secret Tunnel, target creature can't be blocked this turn.",,,,207,agentsofsneak,0.1,0.04
Greater Morphling,Unhinged,silver,{6}{U}{U},Creature — Shapeshifter,"{2}: Greater Morphling gains your choice of banding, bushido 1, double strike, fear, flying, first strike, haste, landwalk of your choice, protection from a color of your choice, provoke, rampage 1, shadow, or trample until end of turn.\n{2}: Greater Morphling becomes the colors of your choice until end of turn.\n{2}: Greater Morphling becomes the creature type of your choice until end of turn.\n{2}: Greater Morphling's expansion symbol becomes the symbol of your choice until end of turn.\n{2}: Greater Morphling's art becomes by the artist of your choice until end of turn.\n{2}: Greater Morphling gets +2/-2 or -2/+2 until end of turn.\n{2}: Untap Greater Morp",5,5,,34★,,,
Carnivorous Death-Parrot,Unsanctioned,silver,{1}{U},Creature — Bird,"Flying\nAt the beginning of your upkeep, sacrifice Carnivorous Death-Parrot unless you say its flavor text",2,2,,19,,0.11,0.09
GO TO JAIL,Unsanctioned,silver,{W},Enchantment,"When GO TO JAIL enters the battlefield, exile target creature an opponent controls until GO TO JAIL leaves the battlefield.\nAt the beginning of the upkeep of the exiled card's owner, that player rolls two six-sided dice. If they roll doubles, sacrifice GO TO JAIL",,,,6,,0.09,0.19
Very Cryptic Command,Unstable,silver,{1}{U}{U}{U},Instant,Choose two —\n• Scry 3.\n• Create a 2/2 black Rogue creature token with menace.\n• Add or subtract 1 or one from a number or number word on target spell or permanent until end of turn.\n• Return all artifacts target player controls to their owner's h,,,,49f,,1.49,1.98
Ashnod's Coupon,Unglued,silver,{0},Artifact,"{T}, Sacrifice Ashnod's Coupon: Target player gets you target drink. You pay any costs for the drink.",,,,69,,7.23,5.92
Clock of DOOOOOOOOOOOOM!,Unstable,silver,{4},Artifact,"{4}, {T}: Move the CRANK! counter to your Contraption deck's next sprocket and crank any number of that sprocket's Contraptions.",,,,142,leagueofdastardlydoom,0.21,0.19
"Stet, Draconic Proofreader",Unsanctioned,silver,{4}{R}{R},Legendary Creature — Dragon Bureaucrat,"Flying\nWhenever Stet, Draconic Proofreader attacks, you may exile a card from your graveyard. When you do, Stet, Draconic Proofreader deals 4 damage to any target whose name begins with the same letter as the exiled card.\n{W}: Delete the first letter of target permanent or player's name until end of tur",4,4,,57,,0.14,0.49
Underdome,Unsanctioned,silver,"",Land,{T}: Add {C}.\n{T}: Add one mana of any color. Spend this mana only to pay Un-costs,,,,86,,0.14,0.14
Dual Doomsuits,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Dual Doomsuits, each time a source you control would deal damage this turn, it deals double that damage instead.",,,,179,leagueofdastardlydoom,0.16,0.25
Greater Morphling,Unhinged,silver,{6}{U}{U},Creature — Shapeshifter,"{2}: Greater Morphling gains your choice of banding, bushido 1, double strike, fear, flying, first strike, haste, landwalk of your choice, protection from a color of your choice, provoke, rampage 1, shadow, or trample until end of turn.\n{2}: Greater Morphling becomes the colors of your choice until end of turn.\n{2}: Greater Morphling becomes the creature type of your choice until end of turn.\n{2}: Greater Morphling's expansion symbol becomes the symbol of your choice until end of turn.\n{2}: Greater Morphling's art becomes by the artist of your choice until end of turn.\n{2}: Greater Morphling gets +2/-2 or -2/+2 until end of turn.\n{2}: Untap Greater Morp",5,5,,34,,1.8,0.6
Enter the Dungeon,Unsanctioned,silver,{B}{B},Sorcery,"Players play a Magic subgame under the table, starting at 5 life and using their libraries as their decks. The winner searches their library for two cards, puts those cards into their hand, then shuffles.",,,,36,,0.13,0.18
Poultrygeist,Unsanctioned,silver,{2}{B},Creature — Bird Spirit,"Flying\nWhenever a creature dies, you may roll a six-sided die. If you roll a 1, sacrifice Poultrygeist. Otherwise, put a +1/+1 counter on Poultrygeist",1,1,,43,,0.12,0.02
Jumbo Imp,Unsanctioned,silver,{2}{B},Creature — Imp,"Flying\nAs Jumbo Imp enters the battlefield, roll a six-sided die. Jumbo Imp enters the battlefield with a number of +1/+1 counters on it equal to the result.\nAt the beginning of your upkeep, roll a six-sided die and put a number of +1/+1 counters on Jumbo Imp equal to the result.\nAt the beginning of your end step, roll a six-sided die and remove a number of +1/+1 counters from Jumbo Imp equal to the resu",0,0,,42,,0.11,0.75
Modular Monstrosity,The List (Unfinity Foil Edition),silver,{7},Artifact Creature — Construct,"Whenever an opponent casts a spell, you have five seconds to choose a keyword you haven't chosen for a card named Modular Monstrosity today that's been printed on a creature card. If you do, Modular Monstrosity gains that ability. Otherwise, Modular Monstrosity loses all keyword abilities.",3,3,,59,,,
Old Guard,Unsanctioned,silver,{1}{W},Artifact Creature — Cyborg Soldier,"{W}, {T}: Tap target creature without reminder text. (Reminder text is still any italicized text in parentheses that explains rules you already know.)",2,1,,11,orderofthewidget,0.09,0.12
Very Cryptic Command,Unstable,silver,{1}{U}{U}{U},Instant,"Choose two —\n• Counter target black-bordered spell.\n• Return target creature to its owner's hand.\n• Untap each permanent you control with a watermark.\n• Roll two six-sided dice. Target player mills X cards, where X is the total of those resu",,,,49e,,3.17,1.49
Emcee,Unhinged,silver,{2}{W},Creature — Human Rogue,"Whenever another creature enters the battlefield, you may stand up and say in a deep, booming voice, \""Presenting . . . \"" and that creature's name. If you do, put a +1/+1 counter on that creatur",0,1,,9★,,,
Hurloon Wrangler,Unglued,silver,{2}{R},Creature — Minotaur,Denimwalk (This creature can't be blocked as long as defending player is wearing denim.),2,2,,46,,0.18,0.25
Gus,Unglued,silver,{2}{G},Creature — Gus,Gus enters the battlefield with a +1/+1 counter on it for each Magic game you have lost to one of your opponents since you last won a game against them.,2,2,,62,,0.15,0.25
Goblin Mime,Unhinged,silver,{1}{R},Creature — Goblin Mime,"When you speak, sacrifice Goblin Mime.",2,2,,78★,,,
Shellephant,Unstable,silver,{1}{G}{G},Creature — Turtle and/or Elephant,{0}: Choose one. You may activate this ability while Shellephant is in any zone.\n• Shellephant has base power and toughness 1/4.\n• Shellephant has base power and toughness 3/,?,?,,121,crossbreedlabs,0.11,0.19
Carnivorous Death-Parrot,Unhinged,silver,{1}{U},Creature — Bird,"Flying\nAt the beginning of your upkeep, sacrifice Carnivorous Death-Parrot unless you say its flavor text",2,2,,29,,0.15,0.45
Watermarket,The List (Unfinity Foil Edition),silver,"",Land,{T}: Add {C}{C}. Spend this mana only to cast spells with watermarks.,,,,62,,,
Jackknight,The List (Unfinity Foil Edition),silver,{1}{W},Artifact Creature — Cyborg Knight,"Whenever another artifact enters the battlefield under your control, put a +1/+1 counter on Jackknight. If that artifact is a Contraption, Jackknight gains lifelink until end of turn.",1,1,,5,orderofthewidget,,
Gnome,Unstable Tokens,silver,"",Token Artifact Creature — Gnome,"",1,1,,20,,,
Blast from the Past,The List (Unfinity Foil Edition),silver,{2}{R},Instant,"Madness {R}, cycling {1}{R}, kicker {2}{R}, flashback {3}{R}, buyback {4}{R}\nBlast from the Past deals 2 damage to any target. If this spell was kicked, create a 1/1 red Goblin creature token",,,,27,,,
B-I-N-G-O,Unhinged,silver,{1}{G},Creature — Dog,"Trample\nWhenever a player casts a spell, put a chip counter on its mana value.\nB-I-N-G-O gets +9/+9 for each set of three numbers in a row with chip counters on the",1,1,,92,,0.63,0.5
Goblin Bookie,Unglued,silver,{R},Creature — Goblin,"{R}, {T}: Reflip any coin or reroll any die. (Activate only any time it makes sense.)",1,1,,43,,0.18,0.24
Emcee,Unhinged,silver,{2}{W},Creature — Human Rogue,"Whenever another creature enters the battlefield, you may stand up and say in a deep, booming voice, \""Presenting . . . \"" and that creature's name. If you do, put a +1/+1 counter on that creatur",0,1,,9,,0.15,0.1
Ow,Unglued,silver,{B},Enchantment,"Whenever a creature deals damage to a player, that player may say \""Ow\"" once for each permanent named Ow. If the player doesn't, Ow deals 1 damage to the",,,,36,,0.69,0.4
B.O.B. (Bevy of Beebles),The List (Unfinity Foil Edition),silver,{3}{U}{U},Legendary Planeswalker — B.O.B.,"As B.O.B. enters the battlefield, create four 1/1 blue Beeble creature tokens.\nThe number of loyalty counters on B.O.B. is equal to the number of Beebles you control. (Create or sacrifice Beebles whenever B.O.B. gains or loses loyalty.)\n+1: Up to X target Beebles can't be blocked this turn, where X is the number of cards in your hand.\n−1: Draw a ca",,,*,13,,,
Deal Damage,Unhinged,silver,{2}{R}{R},Instant,"Deal Damage deals 4 damage to any target.\nGotcha — If an opponent says \""deal\"" or \""damage,\"" you may say \""Gotcha!\"" When you do, return Deal Damage from your graveyard to you",,,,74,,0.29,0.2
Garbage Elemental,Unstable,silver,{4}{R},Creature — Elemental,"Last strike (This creature deals combat damage after creatures without last strike.)\nBattalion — Whenever Garbage Elemental and at least two other creatures attack, target creature can't block this turn",6,5,,82f,,0.22,0.23
Infernal Spawn of Infernal Spawn of Evil,Unsanctioned,silver,{8}{B}{B},Creature — Demon Child,"Flying, first strike, trample\nOnce each turn, while you're searching your library, you may pay {1}{B}, reveal Infernal Spawn of Infernal Spawn of Evil from your library and say \""I'm coming, too!\"" If you do, Infernal Spawn of Infernal Spawn of Evil deals 2 damage to a player of your choi",8,8,,39,,0.11,0.1
Knight of the Kitchen Sink,Unstable,silver,{W}{W},Artifact Creature — Cyborg Knight,"First strike, protection from two-word names (Nothing with exactly two words in its name can block, target, deal damage to, or attach to this creature. Hyphenated words are one word.)",2,2,,12e,orderofthewidget,0.25,0.15
Everythingamajig,Unstable,silver,{5},Artifact,"{2}, {T}: Move a counter from one permanent onto another. If the second permanent refers to any kind of counter, the moved counter becomes one of those counters. Otherwise, it becomes a +1/+1 counter.\n{3}, {T}: Put a +1/+1 counter on target creature.\n{4}, {T}: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there",,,,147a,,3.88,5.0
AWOL,Unhinged,silver,{2}{W},Instant,Exile target attacking creature. Then remove it from the game. Then put it into the absolutely-removed-from-the-freaking-game-forever zone.,,,,2★,,,
Inhumaniac,Unsanctioned,silver,{1}{B},Creature — Brainiac,"At the beginning of your upkeep, roll a six-sided die. On a 3 or 4, put a +1/+1 counter on Inhumaniac. On a 5 or higher, put two +1/+1 counters on it. On a 1, remove all +1/+1 counters from Inhumaniac.",1,1,,41,leagueofdastardlydoom,0.13,0.09
Angel // Angel,Unstable Tokens,black,,Token Creature — Angel // Token,,,,,1,,,
Censorship,Unglued,silver,{U},Enchantment,"As Censorship enters the battlefield, choose a word.\nWhenever a player says the chosen word, Censorship deals 2 damage to that player",,,,15,,1.82,0.95
Stop That,Unhinged,silver,{B},Instant,"Target player discards a card.\nGotcha — If an opponent audibly flicks the cards in their hand, you may say \""Gotcha!\"" When you do, return Stop That from your graveyard to your ha",,,,63,,0.18,0.1
Swamp,Unsanctioned,black,"",Basic Land — Swamp,({T}: Add {B}.),,,,91,,0.47,0.09
"Pippa, Duchess of Dice",Unsanctioned,silver,{2}{G},Legendary Creature — Human Noble,"{2}{G}, {T}: Roll a six-sided die. It becomes a green Die creature token with power and toughness each equal to its result.\n{2}{U}, {T}: Reroll any die. (Activate only any time it makes sense.",2,2,,68,,0.16,0.89
Baron Von Count,The List (Unfinity Foil Edition),silver,{1}{B}{R},Legendary Creature — Human Villain,"Baron Von Count enters the battlefield with a doom counter on \""5.\""\nWhenever you cast a spell with the indicated numeral in its mana cost, text box, power, or toughness, move the doom counter one numeral to the left.\nWhen the doom counter moves from \""1,\"" destroy target player and put that doom counter o",3,3,,43,leagueofdastardlydoom,,
Big Boa Constrictor,Unstable,silver,{3}{B},Host Creature — Snake,"When this creature enters the battlefield, roll a six-sided die. Target opponent loses life equal to the result.",1,2,,51,,0.13,0.19
Double Play,Unglued,silver,{3}{G}{G},Sorcery,"Choose another player. Search your library for a basic land card, put it onto the battlefield, then shuffle. At the beginning of the first upkeep in your next game with that player, search your library for a basic land card, put it onto the battlefield, then shuffle.",,,,55,,0.21,0.25
Three-Headed Goblin,Unstable,silver,{3}{R}{R},Creature — Goblin Mutant,"Triple strike (This creature deals first-strike, regular, and last-strike combat damage.)",3,3,,99,goblinexplosioneers,0.21,0.25
Spell Counter,Unhinged,silver,{2}{U}{U},Instant,"Counter target spell.\nGotcha — If an opponent says \""spell\"" or \""counter,\"" you may say \""Gotcha!\"" When you do, return Spell Counter from your graveyard to you",,,,46,,0.86,0.55
Rocket-Powered Turbo Slug,Unhinged,silver,{3}{R},Creature — Slug,"Super haste (This may attack the turn before you cast it. (You may put this card from your hand onto the battlefield tapped and attacking during your declare attackers step. If you do, you lose the game at the beginning of your next turn's end step unless you pay this card's mana cost during that turn.))",3,1,,87,,0.42,0.4
"Timmy, Power Gamer",Unglued,silver,{2}{G}{G},Legendary Creature — Human Gamer,{4}: You may put a creature card from your hand onto the battlefield.,1,1,,68,,1.12,1.25
"Urza, Academy Headmaster",Unstable,silver,{W}{U}{B}{R}{G},Legendary Planeswalker — Urza,+1: Head to AskUrza.com and click +1.\n−1: Head to AskUrza.com and click -1.\n−6: Head to AskUrza.com and click -,,,4,136,,2.35,2.78
